TYPE ID Toffset_noisereduction
ED 1255 -11.016021
ED 1256 10.475753
ED 1257 -7.943720
ED 1258 6.209659
ED 1259 -0.649643
ED 1260 -11.455635
ED 1261 -9.139028
ED 1262 0.913579
ED 1263 -1.689748
ED 1264 2.654123
ED 1265 -1.686216
ED 1266 9.155692
ED 1267 1.225993
ED 1268 -19.253161
ED 1269 -5.253071
ED 1270 7.756572
ED 1271 -11.915155
ED 1272 2.256297
ED 1273 -7.932625
ED 1274 7.835019
ED 1275 2.756146
ED 1276 7.792583
ED 1277 4.551271
ED 1278 -7.715111
ED 1279 2.112369
ED 1280 13.126514
ED 1281 5.204853
ED 1282 7.959967
ED 1283 -8.544621
ED 1284 3.460109
ED 1285 -1.606467
ED 1286 -5.566458
ED 1287 4.506089
ED 1288 7.401460
ED 1289 17.950552
ED 1290 -2.455461
ED 1291 11.659554
ED 1292 -6.138213
ED 1293 8.045615
ED 1294 -9.032883
ED 1295 22.850265
ED 1296 -6.817406
ED 1297 7.416215
ED 1298 6.311678
ED 1299 8.760022
ED 1300 15.971456
ED 1301 20.781501
